type,input,output,A,B,C,D,E
doctor,"35세 산과력 0-0-1-0인 여자가 3일 동안 지속된 질출혈로 병원에 왔다. 마지막 월경은 8주 전이다. 골반초음파검사에서 자궁 내에 눈보라 모양의 병변이 보여 흡입긁어냄술을 받았다. 조직검사 결과는 완전포상기태이다. 혈청 베타사람융모생식샘자극호르몬 검사 결과는 다음과 같다. 처치는?수술일 150,000 mIU/mL 수술 후 7일 350 mIU/mL",Choice 1,1주 후 베타사람융모생식샘자극호르몬검사,에스트로겐,프로게스테론,메토트렉세이트,흡입긁어냄술 재시행
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 모 제약회사에서 121℃에서의 D값(D 121) 이 1.0분이며, Z값은 10℃인 B. stearothermophilus 균의 초기 미생물부하량(bioburden) 을 10^3으로 하여 대용량 주사제의 멸균공정의 밸리데이션을 실시하였다. 시간에 따라 챔버의 온도를 올려 멸균하고 서서히 온도를 낮추어 가면서 치사율 곡선을 얻었으며, 이 치사율 곡선의 곡선하 면적(AUC) 은 8.0분이었다. 이 멸균공정과 대등한 멸균효과를 나타내는 멸균조건은?",Choice 3,101℃에서 160분간 멸균,110℃에서 40분간 멸균,111℃에서 80분간 멸균,120℃에서 8분간 멸균,131℃에서 0.4분간 멸균
doctor,2010년 현재 우리나라 40대 이상 연령층의 가장 높은 사망원인은?,Choice 5,자살,당뇨병,심장질환,운수사고,악성 신생물
dentist,"미다졸람으로 정주진정 시행 중 환자의 의식과 호흡이 저하되었다. 두세 번 반복되는 ""손 올려 보세요."" 명령에 반응이 없으나, 통증 자극에 대한 반응은 있다. 환자의 진정상태는?",Choice 4,각성상태,최소진정,중등도진정,깊은진정,전신마취
nurse,단태아를 임신한 임부의 사정결과가 다음과 같을 때 예상되는 임신 주수는?• 임부는 첫 태동을 느끼지 못했다.• 도플러로 태아 심음을 들을 수 있다.• 자궁저부가 치골결합 바로 위에서 만져진다.,Choice 3,4주,8주,12주,16주,20주
nurse,다음의 영아 사망 및 신생아 사망과 관련된 α-index 값 중 지역의 건강수준이 가장 높음을 의미하는 것은?,Choice 1,A 지역: 1.1,B 지역: 1.6,C 지역: 2.1,D 지역: 2.6,E 지역: 3.1
pharm,Salvia miltiorrhiza에서 얻어진 성분으로 관상동맥 확장작용을 나타내는 것은?,Choice 4,cimicifugin,decursin,ophiopogonin A,tanshinone I,wogonin
doctor,"8세 남아가 학교는 혼자서 다닐 수 있지만, 친구들과 어울리지 못하고, 좋아하는 과목만 공부하며, 낯선 장소에 가는 것을 거부하였다. 집에서는 동물과 관련된 책을 좋아해서 하루 종일 책만 읽었다. 묻는 질문에는 적절하게 대답했지만 억양과 운율이 이상했다. 발달력에서 1세 때 '엄마’라 불렀고 지능지수는 96이었다. 좋은 예후를 시사하는 소견은?",Choice 2,남아,지능,관심사 몰두,언어발달 정도,혼자서 등하교
nurse,삼차신경통 환자에게 통증 예방에 대한 교육을 실시한 후 추가교육이 필요한 환자의 반응은?,Choice 2,“눈을 비비면 안 되겠어요.”,“찬물로 세수를 해야겠어요.”,“인공눈물액을 넣어야겠어요”,“구강청결제를 사용해야겠어요.”,“정기적으로 치과를 방문하겠어요.”
nurse,프리셉터인 A 간호사는 최근 여러 명의 신규 간호사 교육에 반복 배정되어 과도한 업무량으로 인해 심한 스트레스를 받고 있다. 간호관리자가 적용할 조직 차원에서의 직무 스트레스 관리 방안으로 적절한 것은?,Choice 4,A 간호사에게 시간 관리의 중요성을 강조한다.,스트레스를 인생의 일부로 인정하도록 교육한다.,A 간호사에게 명상과 같은 이완 훈련을 해 보도록 지시한다.,직무 분석을 통해 적절한 인력을 배치하고 업무를 재분장한다.,프리셉터 훈련 교육 프로그램을 통해 인간 관계 기술 역량을 강화한다.
doctor,"아기와 엄마가 본능적으로 이루어 가는 신체적, 심리적 친밀 행동으로 인간뿐만 아니라 다른 동물에서도 관찰되는 현상은?",Choice 2,고착(fixation),애착(attachment),동화(assimilation),조건화(conditioning),조절(accommodation)
dentist,Angle 분류법에 대한 설명으로 옳은 것은?,Choice 4,I급 부정교합은 상악 제1대구치 원심협측교두가 하악 제1대구치의 근심협측구에 접촉한다.,II급 부정교합은 대구치 관계에서 상악에 대해 하악이 근심에 위치한 상태이다.,III급 부정교합은 원심교합이다.,제1대구치 관계에 대한 강조로 안면골격 자체를 무시하였다.,"제1대구치의 전후방적, 수직적, 측방적 관계를 기준으로 구분하였다."
pharm,공정밸리데이션 중 예측적 밸리데이션에 대한 설명으로 옳은 것은?,Choice 4,판매용 의약품을 생산하면서 실시한다.,제조단위 수의 절반 이상이 적합하여야 한다.,연간 생산 제조단위가 1개 이하일 때 실시한다.,연속으로 생산된 3개 이상의 제조단위를 대상으로 실시한다.,희귀의약품의 경우 과거 3개 제조단위에서 얻은 자료를 활용한다.
doctor,"23세 여자가 몸무게가 한달 동안 5 kg 빠져 검사를 받던 중 당뇨병이 의심되어 왔다. 입이 마르고 소변도 자주 봤고 하였다. 키 162 cm, 몸무게 49 kg, 혈압 110/70 mmHg 였고, 입안점막은 말라 있었다. 검사 결과는 다음과 같았다. 치료는?혈액: 포도당 384 mg/dL,  당화혈색소 8.2% 혈액요소질소 32 mg/dL,  크레아티닌 1.4 mg/dL, C-펩티드 0.1 ng/mL (참고치, 0.8 ~ 3.5) 소변: 포도당 (3+), 단백질 (-), 케톤 (2+) ",Choice 1,인슐린,메트포르민,술포닐우레아,디펩티딜펩티드분해효소- Ⅳ억제제,글루카곤유사펩티드- 1수용체작용제
dentist,머리뼈의 낱개뼈(individual bone)에 있는 구조물로 옳은 조합은?,Choice 5,광대뼈(zygomatic bone)-날개관(pterygoid canal),나비뼈(sphenoid bone)-혀밑신경관(hypoglossal canal),이마뼈(frontal bone)-눈확아래구멍(infraorbital foramen),위턱뼈(maxilla)-작은입천장구멍(lesser palatine foramen),관자뼈(temporal bone)-붓꼭지구멍(stylomastoid foramen)
dentist,이차상아질 합성에 관여하는 치수 내 세포는?,Choice 5,림프구,가지세포,섬유모세포,큰포식세포,상아질모세포
pharm,"혈액순환개선 작용을 나타내는 ginkgolides A, B, C 등을 함유하는 생약은?",Choice 4,다엽,코카,센나엽,은행엽,디기탈리스엽
dentist,구강악안면 영역에 치료목적으로 다량의 방사선을 조사하였을 때 나타나는 영향으로 옳은 것은?,Choice 5,방사선 골괴사는 주로 상악에서 발생한다.,방사선에 가장 민감한 타액선은 악하선이다.,미뢰는 방사선감수성이 낮아 미각감퇴가 발생하지 않는다.,성인의 치아에 고선량의 방사선이 조사되면 법랑질 구조의 변형이 발생한다.,방사선우식은 방사선 조사에 의한 타액선 변화로 인하여 이차적으로 발생한다.
doctor,35세 남자가 압축공기를 이용하여 수중 40 m에서 잠수를 하던 중 술에 취한 것처럼 황홀감에 빠져 제멋대로 행동을 하였다. 이러한 증상을 예방하기 위한 조치는?,Choice 2,압축공기의 압력이 수압과 같도록 한다.,압축공기에 질소 대신 헬륨을 사용한다.,압축공기 중 산소농도를 30% 로 한다.,압축공기 중 산소농도를 10% 로 한다.,압축공기 중 질소농도를 90% 로 한다.
nurse,"옥시토신 유도분만 중인 40주 초산부가 통증을 호소하여 사정한 결과는 다음과 같다. 우선적인 간호중재는?• 자궁경관: 개대 2 cm, 소실 70% • 자궁수축: 간격 2분 미만, 기간 90초 이상, 강도 100 mmHg ",Choice 4,관장 시행,양막절개술 실시,자궁근이완제 투여,옥시토신 투여 중단,프로스타글란딘 질정 투여
dentist,하악 치아 중 남녀간에 크기의 차이가 가장 현저하여 법치의학적 성별 추정에 유용한 것은?,Choice 3,중절치,측절치,견치,제1소구치,제1대구치
doctor,"22세 여자가 살을 빼고 싶다며 병원에 왔다. 대학교 홍보 모델인 친구에게 “너도 살 빼서 해봐.”라는 말을 들은 뒤로 닭가슴살, 삶은 달걀, 샐러드만 먹으면서 2개월 동안 7 kg을 뺐다. 날씬해진 모습을 거울에 비춰볼 때마다 기분이 좋아지고 자존감이 높아졌다. 내년 초 모델 지원을 목표로 살을 더 빼고 싶은데 6개월 전부터는 체중이 빠지지 않아 스트레스를 받았다. 5개월 전부터 닭가슴살이 지겨워 피자 3판을 1시간 만에 목구멍에 밀어 넣듯 먹고 나서 후회하며 토하는 일이 이틀에 한 번 있었다. 폭식한 다음 날에는 밥을 먹는 자신이 싫어서 하루 종일 굶었다. 어렵게 뺀 살이 다시 찔까 봐 불안하고, 하루 종일 밥을 먹을지 말지를 고민하는 게 힘들고 짜증 난다고 한다. 키 172 cm, 체중 64 kg이다. 진단은?",Choice 3,이식증,제거장애,신경성폭식증,회피적/제한적 음식섭취장애,"신경성식욕부진증, 폭식/제거형"
doctor,지역응급의료센터에 내원한 환자가 응급환자에 해당하지 않았으나 진료가 필요하다고 인정되었다. 의사가 이 환자를 본인의 동의를 얻어 응급실이 아닌 의료시설에 진료를 의뢰하는 경우 이 환자에게 해야 할 조치는?,Choice 2,응급처치 교육,진료과목 추천,이송수단 알선,진료소견서 제공,진료의뢰 동의서 작성 요구
doctor,"의사 '갑'은 광역시 지역에서 의원을 개설하여 운영하고 있다. '갑'이 「의료법」에 따라 비급여 진료비용의 항목, 기준, 금액 및 진료내역 등을 보고하여야 하는 대상은?",Choice 3,질병관리청장,관할 광역시장,보건복지부장관,건강보험심사평가원장,국민건강보험공단 이사장
doctor,"76세 여자가 2일 전부터 어지러워서 왔다. 1주 전부터 설사를 했다고 한다. 15년 전부터 혈압강하제와 혈당강하제를 복용하고 있었다. 혈압 70/40 mmHg, 맥박 98회/분, 호흡 25회/분, 체온 35.9℃였다. 피부는 차갑고 건조하였다. 호흡음은 깨끗하였다. 정강뼈앞 오목부종은 없었다. 치료는?",Choice 4,디곡신,베타차단제,아미노필린,0.9% 식염수,앤지오텐신전환효소 억제제
pharm,주사용 분말이 들어있는 바이알에 정해진 용매를 가해 분말을 녹이는 조제 방법은?,Choice 5,희석(dilution),배산(trituration),유화(emulsification),논코어링(noncoring),재구성(reconstitution)
pharm,평소 건강하던 47세 여자가 오늘 갑상선저하증으로 진단받아 레보티록신(levothyroxine) 50 µg 1일 1회 로 약물치료를 시작하고자 한다. 4주 후 약물효과를 평가하기 위해 확인해야 하는 검사 항목은?,Choice 1,TSH,총 T3,갑상선글로불린(thyroglobulin),방사성요오드섭취율(radioactive iodine uptake),갑상선수용체항체(thyroid receptor antibody)
nurse,다음과 같은 부정맥이 1분 동안 10회 이상 나타나는 환자에게발생 위험이 높은 부정맥은?,Choice 2,동성빈맥,심실빈맥,심방세동,조기심방수축,1도 방실차단
nurse,산과력 T2-P0-A0-L2인 42세 여자의 자궁경부질세포진검사(Pap test) 결과는 Class I이었다. 예상되는 추후 관리는?,Choice 5,즉시 원추절제술,한 달 후 쉴러검사,배란 시 질확대경검사,월경이 끝난 후 자궁내막생검,정기적인 자궁경부질세포진검사
pharm,회전형 혼합기를 사용하여 두 가지 이상의 분체를 혼합할 때 균일한 혼합물을 얻기에 적합한 것은?,Choice 5,부착성이 큰 분체,응집성이 큰 분체,조해성이 큰 분체,유동성이 낮은 분체,입자 크기가 균일한 분체
doctor,"37세 남자가 3일 전부터 물설사를 하였고 2일 전부터 열이 났다. 혈압 120/80 mmHg, 맥박 110회/분, 호흡 18회/분, 체온 38.1℃였다. 왼쪽 아랫배에 압통이 있었다. 대변펴바른표본검사에서 백혈구가 다수 관찰되었다. 치료는?",Choice 4,아목시실린(amoxicillin),독시사이클린(doxycycline),메트로니다졸(metronidazole),시프로플록사신(ciprofloxacin),트리메토프림- 술파메톡사졸(trimethoprim- sulfamethoxazole)
dentist,형성 중인 법랑질에 존재하는 단백질 중 가장 많은 것은?,Choice 4,아교질,터프텔린,에나멜린,아멜로제닌,포스포포린
doctor,질병 및 사망 양상의 역학적 변천 단계 중 2000년 이후 우리나라에 해당하는 것은?,Choice 5,질병과 기근 시대,대유행의 감소 시대,만성퇴행성질환 시대,지연된 퇴행성질환의 시대,감염 및 기생충 질환의 출현 및 재출현 시대
doctor,"35세 남자가 온몸에 반점모양의 발진이 생겨 입원하였다. 금속세척공장에서 근무한 지 20일 만에 복부에 발진이 생기고 온몸으로 퍼졌다고 한다. 입원 후 스티븐스-존슨증후군으로 진단되었고, 간 기능 장애가 추가로 발생하였다. 의심되는 노출 물질은?",Choice 5,벤젠(benzene),메탄올(methanol),노말헥산(n- hexane),이황화탄소(carbon disulfide),트라이클로로에틸렌(trichloroethylene)
dentist,치과용 금합금의 성분과 영향이 바르게 연결된 것은?,Choice 2,동- 강도 감소,금-내식성 증가,아연 - 융점 증가,주석 - 융점 증가,팔라듐-융점 감소
pharm,"갱년기 증상이 있는 55세 여자가 냉증과 피로감, 하복부통, 두중, 어지러움의 증상이 있어 약국에 방문하였다. 이 환자의 조혈기능을 활성화하여 정체된 수분을 배출하는 한약제제는?",Choice 5,갈근탕(葛根湯),삼소음(蔘蘇飮),산조인탕(酸棗仁湯),소시호탕(小柴胡湯),당귀작약산(當歸芍藥散)
nurse,무의식 환자의 특별구강간호 중재로 옳은 것은?,Choice 3,환자의 고개를 뒤로 젖힌다.,간호사의 손가락을 넣어 환자의 입을 벌린다.,세척액을 묻힌 거즈로 환자의 치아를 부드럽게 닦는다.,사용한 거즈를 구강 내 남겨 둔다.,시행 후 입술을 건조하게 유지한다.
dentist,"국민구강건강실태조사에서 검사대상 치면에 치아우식은 없고, 치면열구전색재가 일부 파절된 상태로 남아있는 치면에 관한 판정은?",Choice 3,건전 치면,우식 치면,전색 치면,우식경험처치 치면,우식비경험처치 치면
nurse,현대 여성건강간호사의 역할로 적절한 것은?,Choice 5,치료방법을 결정하고 따르게 한다.,기계기술에 의존한 간호를 제공한다.,의사를 보조하는 역할을 중점적으로 수행한다.,가족을 제외하고 대상자 중심의 간호를 제공한다.,연구를 통해 축적된 지식을 간호실무에 적용한다.
pharm,종양괴사인자(TNF-α) 수용체에 IgG1의 Fc영역을 융합한 항체의약품으로 류마티스 관절염에 사용하는 약물은?,Choice 3,리툭시맙(rituximab),세툭시맙(cetuximab),에타너셉트(etanercept),오말리주맙(omalizumab),트라스투주맙(trastuzumab)
